group;DATE;HEAT;PI1;PI2;PI3;PI4;PI5;PI6;PI7;PI8;PI9
Canton_s;16/12/08;1;0.582;0.097;-0.020;0.565;0.555;0.373;0.599;0.313;0.084
Canton_s;16/12/08;-1;-0.904;-0.998;0.122;0.666;0.994;1.000;0.794;0.250;-0.779
Canton_s;16/12/08;1;0.099;0.168;0.843;0.848;0.087;0.861;0.751;0.035;0.282
Canton_s;16/12/08;-1;-0.682;-0.905;0.613;0.916;0.693;0.879;0.869;0.696;0.636
Canton_s;16/12/08;1;0.984;0.989;0.958;0.922;0.984;0.981;0.993;0.995;0.993
Canton_s;17/12/08;-1;0.156;0.313;0.817;0.747;0.438;0.578;0.706;0.992;0.994
Canton_s;17/12/08;1;-0.610;-0.873;0.060;0.990;0.751;0.702;1.000;0.989;0.938
Canton_s;17/12/08;-1;-0.673;-0.431;0.943;0.938;0.227;0.913;0.953;0.935;0.568
Canton_s;17/12/08;1;0.869;0.927;0.709;0.659;1.000;0.783;0.996;1.000;0.988
Canton_s;17/12/08;-1;0.263;0.643;0.142;0.372;-0.899;0.888;0.954;0.818;0.048
Canton_s;18/12/08;1;0.331;0.662;0.946;1.000;1.000;1.000;1.000;1.000;1.000
Canton_s;18/12/08;-1;-0.262;-0.153;0.273;0.188;0.117;0.385;0.575;0.092;0.315
Canton_s;18/12/08;1;0.189;0.091;0.546;0.738;-0.997;0.932;0.961;0.286;0.187
Canton_s;18/12/08;-1;0.241;-0.001;0.441;0.527;-0.465;0.820;0.879;0.672;0.735
Canton_s;18/12/08;1;-0.286;0.117;0.336;0.956;0.973;0.953;0.938;1.000;0.955
Canton_s;19/12/08;-1;-0.219;0.254;0.744;0.980;0.837;0.964;0.940;1.000;0.990
Canton_s;19/12/08;1;-0.397;0.985;0.984;0.995;0.991;0.968;0.991;0.938;0.567
Canton_s;19/12/08;-1;-0.496;-0.110;0.802;0.701;0.390;0.698;0.851;0.291;0.427
Canton_s;19/12/08;1;-0.117;0.517;0.642;1.000;-0.657;0.225;0.998;1.000;1.000
Canton_s;19/12/08;-1;-0.662;-0.479;0.294;0.471;-0.960;0.353;0.515;-0.918;-0.578
Canton_s;23/12/08;1;-0.016;-0.251;0.901;0.917;0.248;0.752;0.947;0.917;0.805
Canton_s;23/12/08;-1;-0.145;-0.264;0.909;0.352;1.000;0.744;0.060;1.000;0.912
FoxP_3955;16/12/08;1;-0.338;-0.193;0.806;0.815;0.519;0.748;0.754;0.558;0.407
FoxP_3955;16/12/08;-1;-0.221;0.212;0.763;0.922;0.748;0.828;0.855;0.533;0.618
FoxP_3955;16/12/08;1;0.124;-0.228;0.692;0.922;0.910;0.466;0.448;1.000;1.000
FoxP_3955;16/12/08;-1;0.223;0.372;0.446;0.411;-0.097;0.626;0.593;-0.345;-0.523
FoxP_3955;17/12/08;1;0.528;0.483;0.905;0.866;0.741;0.696;0.900;0.995;0.968
FoxP_3955;17/12/08;-1;0.501;0.282;0.519;0.848;0.373;0.754;0.544;0.177;0.043
FoxP_3955;17/12/08;1;-0.219;-0.198;0.221;0.844;0.538;0.861;0.857;0.609;-0.058
FoxP_3955;17/12/08;-1;-0.325;-0.471;0.375;0.202;0.287;0.413;0.823;-0.597;-0.463
FoxP_3955;18/12/08;1;-0.680;-0.207;0.906;0.929;0.704;0.970;0.948;0.953;0.957
