1,"Sophie",35,"Alexander",22
2,"Marie",30,"Luca",21
3,"Emilia",21,"Paul",19
4,"Lena",17,"Maximilian",18
5,"Mia ",16,"Felix ",17
6,"Emily",13,"Ben",16
7,"Emma",13,"Leon",16
8,"Luisa",13,"Jonas",14
9,"Maria",13,"Moritz",12
10,"Sophia",12,"David",11
11,"Anna",11,"Elias",11
12,"Lina",11,"Florian",11
13,"Katharina",10,"Mats",11
14,"Mira",10,"Noah",11
15,"Pia",10,"Daniel",10
16,"Charlotte",9,"Louis",10
17,"Lea",9,"Muhammed",10
18,"Mila",9,"Benjamin",9
19,"Victoria",9,"Lukas",9
20,"Elisabeth",7,"Max",9
21,"Hanna",7,"Philipp",9
22,"Hannah",7,"Erik",8
23,"Johanna",7,"Finn",8
24,"Lisa",7,"Jakob",8
25,"Sarah",7,"Noel",8
26,"Amelie",6,"Ali",7
27,"Greta",6,"Fynn",7
28,"Lara",6,"Henry",7
29,"Laura",6,"Julian",7
30,"Marleen",6,"Anton",6
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
